id	path	depth	start	end	size	source	line_defined	last_line_defined	ncode	nconst	nchild	maxstack	nloc	nupv	top_globals_get	top_globals_set	top_ops
11	0.10	1	0x1210f23	0x1212d7a	7767	tab_interface.lua	0	0	504	191	0	3	0	0	"[[""tab_interface"", 63], [""table"", 1]]"	"[[""tab_interface"", 1]]"	"{""NEWTABLE"": 125, ""SETGLOBAL"": 1, ""GETGLOBAL"": 64, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""SETTABLE"": 310, ""RETURN"": 1}"
12	0.11	1	0x1212d7a	0x1212e1d	163	tab_cliff.lua	0	0	8	4	0	3	0	0	"[[""table"", 1], [""tab_cliff"", 1]]"	"[[""tab_cliff"", 1]]"	"{""NEWTABLE"": 1, ""SETGLOBAL"": 1, ""GETGLOBAL"": 2, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""RETURN"": 1}"
13	0.12	1	0x1212e1d	0x12139f0	3027	tab_GlobalMapInfo.lua	0	0	197	108	0	39	0	0	"[[""tab_GlobalMapInfo"", 2], [""table"", 1]]"	"[[""tab_GlobalMapInfo"", 1]]"	"{""NEWTABLE"": 17, ""SETGLOBAL"": 1, ""GETGLOBAL"": 3, ""GETTABLE"": 1, ""LOADK"": 114, ""CALL"": 1, ""SETTABLE"": 45, ""SETLIST"": 14, ""RETURN"": 1}"
14	0.13	1	0x12139f0	0x1213a9b	171	tab_UserEvent.lua	0	0	8	4	0	3	0	0	"[[""table"", 1], [""tab_UserEvent"", 1]]"	"[[""tab_UserEvent"", 1]]"	"{""NEWTABLE"": 1, ""SETGLOBAL"": 1, ""GETGLOBAL"": 2, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""RETURN"": 1}"
15	0.14	1	0x1213a9b	0x1213b48	173	tab_UserAction.lua	0	0	8	4	0	3	0	0	"[[""table"", 1], [""tab_UserAction"", 1]]"	"[[""tab_UserAction"", 1]]"	"{""NEWTABLE"": 1, ""SETGLOBAL"": 1, ""GETGLOBAL"": 2, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""RETURN"": 1}"
16	0.15	1	0x1213b48	0x1213bf3	171	tab_condition.lua	0	0	8	4	0	3	0	0	"[[""table"", 1], [""tab_condition"", 1]]"	"[[""tab_condition"", 1]]"	"{""NEWTABLE"": 1, ""SETGLOBAL"": 1, ""GETGLOBAL"": 2, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""RETURN"": 1}"
17	0.16	1	0x1213bf3	0x1213c9a	167	tab_MapAttr.lua	0	0	8	4	0	3	0	0	"[[""table"", 1], [""tab_MapAttr"", 1]]"	"[[""tab_MapAttr"", 1]]"	"{""NEWTABLE"": 1, ""SETGLOBAL"": 1, ""GETGLOBAL"": 2, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""RETURN"": 1}"
18	0.17	1	0x1213c9a	0x12154a4	6154	tab_mission.lua	0	0	256	145	0	5	0	0	"[[""tab_mission"", 2], [""table"", 1]]"	"[[""tab_mission"", 1]]"	"{""NEWTABLE"": 48, ""SETGLOBAL"": 1, ""GETGLOBAL"": 3, ""GETTABLE"": 1, ""LOADK"": 35, ""CALL"": 1, ""SETTABLE"": 132, ""SETLIST"": 34, ""RETURN"": 1}"
19	0.18	1	0x12154a4	0x1216bb4	5904	tab_skillunit.lua	0	0	625	70	0	9	0	0	"[[""tab_skillunit"", 12], [""table"", 1]]"	"[[""tab_skillunit"", 1]]"	"{""NEWTABLE"": 100, ""SETGLOBAL"": 1, ""GETGLOBAL"": 13, ""GETTABLE"": 1, ""LOADK"": 211, ""CALL"": 1, ""SETLIST"": 77, ""SETTABLE"": 220, ""RETURN"": 1}"
20	0.19	1	0x1216bb4	0x1216f23	879	tab_skillunit_cdt.lua	0	0	68	20	0	5	0	0	"[[""tab_skillunit_cdt"", 5], [""table"", 1]]"	"[[""tab_skillunit_cdt"", 1]]"	"{""NEWTABLE"": 13, ""SETGLOBAL"": 1, ""GETGLOBAL"": 6, ""GETTABLE"": 1, ""LOADK"": 5, ""CALL"": 1, ""SETTABLE"": 36, ""SETLIST"": 4, ""RETURN"": 1}"
21	0.20	1	0x1216f23	0x1216fd4	177	tab_skillunit_do.lua	0	0	8	4	0	3	0	0	"[[""table"", 1], [""tab_skillunit_do"", 1]]"	"[[""tab_skillunit_do"", 1]]"	"{""NEWTABLE"": 1, ""SETGLOBAL"": 1, ""GETGLOBAL"": 2, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""RETURN"": 1}"
22	0.21	1	0x1216fd4	0x121736b	919	tab_ansList.lua	0	0	71	21	0	5	0	0	"[[""tab_ansList"", 4], [""table"", 1]]"	"[[""tab_ansList"", 1]]"	"{""NEWTABLE"": 16, ""SETGLOBAL"": 1, ""GETGLOBAL"": 5, ""GETTABLE"": 1, ""LOADK"": 10, ""CALL"": 1, ""SETTABLE"": 27, ""SETLIST"": 9, ""RETURN"": 1}"
23	0.22	1	0x121736b	0x121747e	275	tab_tget.lua	0	0	15	8	0	3	0	0	"[[""tab_tget"", 2], [""table"", 1]]"	"[[""tab_tget"", 1]]"	"{""NEWTABLE"": 3, ""SETGLOBAL"": 1, ""GETGLOBAL"": 3, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""SETTABLE"": 4, ""RETURN"": 1}"
24	0.23	1	0x121747e	0x121abb5	14135	tab_penpics.lua	0	0	979	259	0	10	0	0	"[[""tab_penpics"", 48], [""table"", 1]]"	"[[""tab_penpics"", 1]]"	"{""NEWTABLE"": 189, ""SETGLOBAL"": 1, ""GETGLOBAL"": 49, ""GETTABLE"": 1, ""LOADK"": 24, ""CALL"": 1, ""SETTABLE"": 705, ""SETLIST"": 8, ""RETURN"": 1}"
25	0.24	1	0x121abb5	0x121ac64	175	tab_UserTrigger.lua	0	0	8	4	0	3	0	0	"[[""table"", 1], [""tab_UserTrigger"", 1]]"	"[[""tab_UserTrigger"", 1]]"	"{""NEWTABLE"": 1, ""SETGLOBAL"": 1, ""GETGLOBAL"": 2, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""RETURN"": 1}"
26	0.25	1	0x121ac64	0x121ad13	175	tab_UserCatalog.lua	0	0	8	4	0	3	0	0	"[[""table"", 1], [""tab_UserCatalog"", 1]]"	"[[""tab_UserCatalog"", 1]]"	"{""NEWTABLE"": 1, ""SETGLOBAL"": 1, ""GETGLOBAL"": 2, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""RETURN"": 1}"
27	0.26	1	0x121ad13	0x121cf15	8706	ScoreItem.lua	0	0	978	74	0	27	0	0	"[[""ScoreItem"", 31], [""table"", 1]]"	"[[""ScoreItem"", 1]]"	"{""NEWTABLE"": 61, ""SETGLOBAL"": 1, ""GETGLOBAL"": 32, ""GETTABLE"": 1, ""LOADK"": 641, ""CALL"": 1, ""SETTABLE"": 210, ""SETLIST"": 30, ""RETURN"": 1}"
28	0.27	1	0x121cf15	0x121e208	4851	ScoreRule.lua	0	0	456	110	0	5	0	0	"[[""ScoreRule"", 33], [""table"", 1]]"	"[[""ScoreRule"", 1]]"	"{""NEWTABLE"": 121, ""SETGLOBAL"": 1, ""GETGLOBAL"": 34, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""SETTABLE"": 264, ""SETLIST"": 32, ""RETURN"": 1}"
29	0.28	1	0x121e208	0x121faf2	6378	tab_model.lua	0	0	647	86	0	8	0	0	"[[""tab_model"", 12], [""table"", 1]]"	"[[""tab_model"", 1]]"	"{""NEWTABLE"": 89, ""SETGLOBAL"": 1, ""GETGLOBAL"": 13, ""GETTABLE"": 1, ""LOADK"": 46, ""CALL"": 1, ""SETTABLE"": 473, ""SETLIST"": 22, ""RETURN"": 1}"
30	0.29	1	0x121faf2	0x1251c7d	205195	tab_icon.lua	0	0	22791	2145	0	5	0	0	"[[""tab_icon"", 1090], [""table"", 1]]"	"[[""tab_icon"", 1]]"	"{""NEWTABLE"": 2179, ""SETGLOBAL"": 1, ""GETGLOBAL"": 1091, ""GETTABLE"": 1, ""LOADK"": 8627, ""CALL"": 1, ""SETTABLE"": 10890, ""RETURN"": 1}"
31	0.30	1	0x1251c7d	0x1252cbc	4159	map_data00.o	0	0	344	133	0	3	0	0	"[[""tab_area"", 29], [""table"", 1]]"	"[[""tab_area"", 1]]"	"{""NEWTABLE"": 57, ""SETGLOBAL"": 1, ""GETGLOBAL"": 30, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""SETTABLE"": 252, ""RETURN"": 1}"
33	0.31.0	2	0x1252d42	0x1252d8b	73	10002_data01.o	1	1	3	1	0	2	0	0	[]	[]	"{""LOADK"": 1, ""RETURN"": 2}"
35	0.31.1.0	3	0x1252fee	0x125301e	48	10002_data01.o	10	10	1	0	0	2	0	0	[]	[]	"{""RETURN"": 1}"
36	0.31.1.1	3	0x125301e	0x125304e	48	10002_data01.o	10	10	1	0	0	2	0	0	[]	[]	"{""RETURN"": 1}"
37	0.31.1.2	3	0x125304e	0x125307e	48	10002_data01.o	12	12	1	0	0	2	0	0	[]	[]	"{""RETURN"": 1}"
34	0.31.1	2	0x1252d8b	0x12531bd	1074	10002_data01.o	2	13	66	24	3	4	3	0	"[[""g_map_init_0000"", 4], [""type"", 2], [""helper_get003"", 2], [""map_version"", 1], [""tab_cha"", 1], [""tab_item"", 1], [""tab_sceneobj"", 1], [""tab_area"", 1], [""tab_effect"", 1], [""tab_skill"", 1], [""AddSceneObj"", 1], [""AddCha"", 1]]"	"[[""g_map_init_0000"", 1], [""AddSceneObj"", 1], [""AddCha"", 1], [""tab_cha"", 1], [""tab_item"", 1], [""tab_sceneobj"", 1], [""tab_area"", 1], [""tab_effect"", 1], [""tab_skill"", 1], [""global_user_area_id_list"", 1]]"	"{""LOADK"": 1, ""GETGLOBAL"": 17, ""CALL"": 4, ""EQ"": 2, ""JMP"": 4, ""MOVE"": 2, ""LE"": 1, ""NEWTABLE"": 9, ""SETGLOBAL"": 10, ""SETTABLE"": 10, ""GETTABLE"": 2, ""CLOSURE"": 3, ""RETURN"": 1}"
38	0.31.2	2	0x12531bd	0x1253384	455	10002_data01.o	14	18	26	16	0	2	1	0	"[[""g_map_init_0000"", 3], [""type"", 2]]"	"[[""tab_cha"", 1], [""tab_item"", 1], [""tab_sceneobj"", 1], [""tab_area"", 1], [""tab_effect"", 1], [""tab_skill"", 1]]"	"{""GETGLOBAL"": 5, ""CALL"": 2, ""EQ"": 2, ""JMP"": 2, ""GETTABLE"": 8, ""SETGLOBAL"": 6, ""RETURN"": 1}"
32	0.31	1	0x1252cbc	0x12533b4	1784	10002_data01.o	0	0	9	3	3	2	0	0	"[[""map_init_0000"", 1]]"	"[[""map_version"", 1], [""map_init_0000"", 1], [""map_init_0004"", 1]]"	"{""CLOSURE"": 3, ""SETGLOBAL"": 3, ""GETGLOBAL"": 1, ""CALL"": 1, ""RETURN"": 1}"
40	0.32.0	2	0x1253557	0x125370e	439	10002_data02.o	5	41	23	11	0	2	0	0	"[[""texture_set"", 1], [""map_minimap"", 1], [""map_camera"", 1], [""map_init_allregion"", 1], [""player_station"", 1], [""player_mode_station"", 1], [""map_light"", 1], [""Map_optionInfo"", 1], [""before_add_object"", 1], [""map_addsceneobj"", 1], [""map_addchar"", 1]]"	[]	"{""GETGLOBAL"": 11, ""CALL"": 11, ""RETURN"": 1}"
41	0.32.1	2	0x125370e	0x125378a	124	10002_data02.o	44	47	5	3	0	2	0	0	[]	"[[""MnMap_Width"", 1], [""MnMap_Height"", 1]]"	"{""LOADK"": 2, ""SETGLOBAL"": 2, ""RETURN"": 1}"
42	0.32.2	2	0x125378a	0x1262abb	62257	10002_data02.o	50	905	5979	1598	0	6	0	0	"[[""AddCha"", 854]]"	[]	"{""GETGLOBAL"": 854, ""LOADK"": 4270, ""CALL"": 854, ""RETURN"": 1}"
43	0.32.3	2	0x1262abb	0x12dba41	495494	10002_data02.o	908	10800	60047	1669	0	7	1	0	"[[""AddSceneObj"", 5298], [""SetCliffTex"", 4592]]"	[]	"{""GETGLOBAL"": 9890, ""LOADK"": 31082, ""CALL"": 9890, ""MOVE"": 9184, ""RETURN"": 1}"
44	0.32.4	2	0x12dba41	0x12dbbef	430	10002_data02.o	10803	10812	25	14	0	5	0	0	"[[""camSetRangeXY"", 1], [""camSetRangeZ"", 1], [""camSetRangeFOV"", 1], [""camUpdateRange"", 1], [""camSetMapNavRange"", 1], [""camSetCenter"", 1]]"	[]	"{""GETGLOBAL"": 6, ""LOADK"": 12, ""CALL"": 6, ""RETURN"": 1}"
45	0.32.5	2	0x12dbbef	0x12dbe26	567	10002_data02.o	10815	10823	32	14	0	4	0	0	"[[""sceSetGlobalAmbient"", 1], [""sceSetGlobalLightDiffuseColor"", 1], [""sceSetGlobalLightAmbientColor"", 1], [""sceSetExtraAmbient"", 1], [""sceSetTerrainLightDiffuseColor"", 1], [""sceSetTerrainLightPosition"", 1], [""sceSetCharLight"", 1]]"	[]	"{""GETGLOBAL"": 7, ""LOADK"": 17, ""CALL"": 7, ""RETURN"": 1}"
46	0.32.6	2	0x12dbe26	0x12dc581	1883	10002_data02.o	10826	10853	161	52	0	7	0	0	"[[""SetPlayer"", 24], [""SetSide"", 2]]"	[]	"{""GETGLOBAL"": 26, ""LOADK"": 108, ""CALL"": 26, ""RETURN"": 1}"
47	0.32.7	2	0x12dc581	0x12dc7e0	607	10002_data02.o	10856	10870	51	17	0	2	0	0	"[[""bar"", 12]]"	"[[""bar"", 1]]"	"{""NEWTABLE"": 13, ""SETGLOBAL"": 1, ""GETGLOBAL"": 12, ""SETTABLE"": 24, ""RETURN"": 1}"
48	0.32.8	2	0x12dc7e0	0x12dc86e	142	10002_data02.o	10873	10876	7	4	0	2	0	0	"[[""player_mode"", 1]]"	"[[""player_mode"", 1]]"	"{""NEWTABLE"": 2, ""SETGLOBAL"": 1, ""GETGLOBAL"": 1, ""SETTABLE"": 2, ""RETURN"": 1}"
49	0.32.9	2	0x12dc86e	0x12dd015	1959	10002_data02.o	10879	10902	111	46	0	4	0	0	"[[""TerrainTexture3D"", 22]]"	[]	"{""GETGLOBAL"": 22, ""LOADK"": 66, ""CALL"": 22, ""RETURN"": 1}"
50	0.32.10	2	0x12dd015	0x12dd352	829	10002_data02.o	10905	10923	69	17	0	5	0	0	"[[""SetMapInfoItem"", 7], [""SetMapInfoRow"", 3], [""SetMapInfoItemLength"", 3], [""SetMapInfoRowLength"", 1]]"	[]	"{""GETGLOBAL"": 14, ""LOADK"": 40, ""CALL"": 14, ""RETURN"": 1}"
39	0.32	1	0x12533b4	0x12dd3ce	565274	10002_data02.o	0	0	28	15	11	4	0	0	"[[""SetMapBaseInfo"", 1]]"	"[[""map_init"", 1], [""map_minimap"", 1], [""map_addchar"", 1], [""map_addsceneobj"", 1], [""map_camera"", 1], [""map_light"", 1], [""player_station"", 1], [""player_bar_station"", 1], [""player_mode_station"", 1], [""texture_set"", 1], [""Map_optionInfo"", 1]]"	"{""GETGLOBAL"": 1, ""LOADK"": 3, ""CALL"": 1, ""CLOSURE"": 11, ""SETGLOBAL"": 11, ""RETURN"": 1}"
52	0.33.0	2	0x12f7c63	0x12f7d42	223	10002_data03.o	62	72	14	6	0	3	0	0	"[[""UI_Show"", 2], [""CreateBagSys"", 2], [""Vote_BTN"", 1], [""Vote_label"", 1]]"	[]	"{""GETGLOBAL"": 6, ""LOADK"": 2, ""CALL"": 3, ""EQ"": 1, ""JMP"": 1, ""RETURN"": 1}"
53	0.33.1	2	0x12f7d42	0x12f7d72	48	10002_data03.o	74	74	1	0	0	2	0	0	[]	[]	"{""RETURN"": 1}"
54	0.33.2	2	0x12f7d72	0x12f7da2	48	10002_data03.o	75	75	1	0	0	2	0	0	[]	[]	"{""RETURN"": 1}"
55	0.33.3	2	0x12f7da2	0x12f7dd2	48	10002_data03.o	1167	1168	1	0	0	2	0	0	[]	[]	"{""RETURN"": 1}"
56	0.33.4	2	0x12f7dd2	0x12f7e12	64	10002_data03.o	1195	1197	3	0	0	2	0	0	[]	[]	"{""LOADBOOL"": 1, ""RETURN"": 2}"
57	0.33.5	2	0x12f7e12	0x12f9610	6142	10002_data03.o	1199	1449	668	34	0	14	7	0	"[[""CONTROL_PLAYER"", 54], [""tgr_PlayerGetResource"", 54], [""_template_data_0001"", 8], [""Map_OptionInfo_tab"", 3], [""TriggerShowHint"", 3], [""tgr_cha"", 3], [""AddCha"", 2]]"	[]	"{""GETGLOBAL"": 127, ""GETTABLE"": 119, ""TEST"": 3, ""JMP"": 77, ""LOADK"": 206, ""SETTABLE"": 3, ""EQ"": 69, ""LOADNIL"": 2, ""CALL"": 59, ""MOVE"": 2, ""RETURN"": 1}"
58	0.33.6	2	0x12f9610	0x12f977c	364	10002_data03.o	1463	1474	27	7	0	3	0	0	"[[""tgr_cha"", 3], [""objGetSubType"", 1], [""CONTROL_PLAYER"", 1], [""objGetControl"", 1], [""cha_GetPType"", 1]]"	[]	"{""GETGLOBAL"": 7, ""CALL"": 3, ""EQ"": 3, ""JMP"": 3, ""LOADBOOL"": 4, ""RETURN"": 5, ""GETTABLE"": 2}"
59	0.33.7	2	0x12f977c	0x12f9c72	1270	10002_data03.o	1476	1516	124	16	0	7	3	0	"[[""tgr_cha"", 15], [""objGetAttr"", 12], [""Cha_InventoryTakeItem"", 9], [""Cha_ReBirth"", 3], [""TriggerAddUnitAttr"", 3]]"	[]	"{""LOADK"": 16, ""EQ"": 19, ""JMP"": 22, ""GETGLOBAL"": 42, ""GETTABLE"": 9, ""CALL"": 15, ""RETURN"": 1}"
60	0.33.8	2	0x12f9c72	0x12f9cb2	64	10002_data03.o	1530	1532	3	0	0	2	0	0	[]	[]	"{""LOADBOOL"": 1, ""RETURN"": 2}"
61	0.33.9	2	0x12f9cb2	0x12f9e50	414	10002_data03.o	1534	1545	25	11	0	4	0	0	"[[""tgr_cha"", 5], [""IsMoveByTrack"", 1], [""objSetPos"", 1], [""GameOp_StopCha"", 1], [""tgr_SetPlayerCamera"", 1], [""objGetControl"", 1], [""tgr_RemoveItemFromCha"", 1]]"	[]	"{""GETGLOBAL"": 11, ""CALL"": 6, ""EQ"": 1, ""JMP"": 1, ""LOADK"": 5, ""RETURN"": 1}"
62	0.33.10	2	0x12f9e50	0x12f9e90	64	10002_data03.o	1559	1561	3	0	0	2	0	0	[]	[]	"{""LOADBOOL"": 1, ""RETURN"": 2}"
63	0.33.11	2	0x12f9e90	0x12f9f90	256	10002_data03.o	1563	1571	13	8	0	5	0	0	"[[""tgr_cha"", 2], [""TriggerAddUnitAttr"", 1], [""TriggerAddEffectAndTimes"", 1]]"	[]	"{""GETGLOBAL"": 4, ""LOADK"": 6, ""CALL"": 2, ""RETURN"": 1}"
64	0.33.12	2	0x12f9f90	0x12f9fd0	64	10002_data03.o	1585	1587	3	0	0	2	0	0	[]	[]	"{""LOADBOOL"": 1, ""RETURN"": 2}"
65	0.33.13	2	0x12f9fd0	0x12fa209	569	10002_data03.o	1589	1609	36	15	0	10	1	0	"[[""tgr_cha"", 4], [""objGetAttr"", 1], [""Attr_Mxhp"", 1], [""TriggerAddUnitAttr"", 1], [""TriggerAddEffectAndTimes"", 1], [""TriggerShowHint"", 1]]"	[]	"{""LOADK"": 15, ""EQ"": 2, ""JMP"": 4, ""GETGLOBAL"": 9, ""CALL"": 4, ""LT"": 1, ""RETURN"": 1}"
66	0.33.14	2	0x12fa209	0x12fa249	64	10002_data03.o	1623	1625	3	0	0	2	0	0	[]	[]	"{""LOADBOOL"": 1, ""RETURN"": 2}"
67	0.33.15	2	0x12fa249	0x12fa482	569	10002_data03.o	1627	1647	36	15	0	10	1	0	"[[""tgr_cha"", 4], [""objGetAttr"", 1], [""Attr_Mxsp"", 1], [""TriggerAddUnitAttr"", 1], [""TriggerAddEffectAndTimes"", 1], [""TriggerShowHint"", 1]]"	[]	"{""LOADK"": 15, ""EQ"": 2, ""JMP"": 4, ""GETGLOBAL"": 9, ""CALL"": 4, ""LT"": 1, ""RETURN"": 1}"
68	0.33.16	2	0x12fa482	0x12fa4c2	64	10002_data03.o	1661	1663	3	0	0	2	0	0	[]	[]	"{""LOADBOOL"": 1, ""RETURN"": 2}"
69	0.33.17	2	0x12fa4c2	0x12fa660	414	10002_data03.o	1665	1676	25	11	0	4	0	0	"[[""tgr_cha"", 5], [""IsMoveByTrack"", 1], [""objSetPos"", 1], [""GameOp_StopCha"", 1], [""tgr_SetPlayerCamera"", 1], [""objGetControl"", 1], [""tgr_RemoveItemFromCha"", 1]]"	[]	"{""GETGLOBAL"": 11, ""CALL"": 6, ""EQ"": 1, ""JMP"": 1, ""LOADK"": 5, ""RETURN"": 1}"
70	0.33.18	2	0x12fa660	0x12fa809	425	10002_data03.o	1690	1698	31	11	0	3	0	0	"[[""_template_data_0001"", 3], [""TriggerCheckChatypeID"", 2], [""tgr_cha"", 2]]"	[]	"{""GETGLOBAL"": 7, ""LOADK"": 2, ""CALL"": 2, ""TEST"": 2, ""JMP"": 5, ""LOADBOOL"": 3, ""RETURN"": 4, ""GETTABLE"": 3, ""LT"": 3}"
71	0.33.19	2	0x12fa809	0x12faad0	711	10002_data03.o	1700	1737	51	12	0	8	7	0	"[[""_template_data_0001"", 10], [""Game_End"", 1]]"	[]	"{""LOADK"": 9, ""GETGLOBAL"": 11, ""GETTABLE"": 7, ""MUL"": 6, ""ADD"": 6, ""SETTABLE"": 3, ""EQ"": 3, ""JMP"": 4, ""CALL"": 1, ""RETURN"": 1}"
72	0.33.20	2	0x12faad0	0x12fab10	64	10002_data03.o	1751	1753	3	0	0	2	0	0	[]	[]	"{""LOADBOOL"": 1, ""RETURN"": 2}"
73	0.33.21	2	0x12fab10	0x12facae	414	10002_data03.o	1755	1766	25	11	0	4	0	0	"[[""tgr_cha"", 5], [""IsMoveByTrack"", 1], [""objSetPos"", 1], [""GameOp_StopCha"", 1], [""tgr_SetPlayerCamera"", 1], [""objGetControl"", 1], [""tgr_RemoveItemFromCha"", 1]]"	[]	"{""GETGLOBAL"": 11, ""CALL"": 6, ""EQ"": 1, ""JMP"": 1, ""LOADK"": 5, ""RETURN"": 1}"
74	0.33.22	2	0x12facae	0x12facee	64	10002_data03.o	1780	1782	3	0	0	2	0	0	[]	[]	"{""LOADBOOL"": 1, ""RETURN"": 2}"
75	0.33.23	2	0x12facee	0x12fae8c	414	10002_data03.o	1784	1795	25	11	0	4	0	0	"[[""tgr_cha"", 5], [""IsMoveByTrack"", 1], [""objSetPos"", 1], [""GameOp_StopCha"", 1], [""tgr_SetPlayerCamera"", 1], [""objGetControl"", 1], [""tgr_RemoveItemFromCha"", 1]]"	[]	"{""GETGLOBAL"": 11, ""CALL"": 6, ""EQ"": 1, ""JMP"": 1, ""LOADK"": 5, ""RETURN"": 1}"
76	0.33.24	2	0x12fae8c	0x12faecc	64	10002_data03.o	1809	1811	3	0	0	2	0	0	[]	[]	"{""LOADBOOL"": 1, ""RETURN"": 2}"
